date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:54	137635/137635	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:55%20GMT	https://printservices.site/setup/resources/assets/dist/resources/assets/img/s-21px-hpe.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/dist/resources/assets/img/s-21px-hpe.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:55	137547/137547	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:56%20GMT	https://printservices.site/setup/resources/i/common/s-social-hpe.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/i/common/s-social-hpe.png	(from https://printservices.site/setup/resources/assets/dist/application.min.css)
20:04:57	137655/137655	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:57%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/img/search_icon.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/img/search_icon.png	(from https://printservices.site/setup/resources/assets/css/page/index.css)
20:04:58	137655/137655	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:34:59%20GMT	https://printservices.site/setup/resources/assets/css/page/resources/assets/img/cancel_icon.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/resources/assets/img/cancel_icon.png	(from https://printservices.site/setup/resources/assets/css/page/index.css)
20:04:59	137639/137639	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Sep%202023%2014:35:00%20GMT	https://printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.video.play.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.video.play.png	(from https://printservices.site/setup/resources/assets/css/vendor/owlCarousel/owl.carousel.css)
20:05:00	121457/121457	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/hppri/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from https://printservices.site/setup/officejet.php)
20:05:00	6357/6357	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/page/flex-design.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/flex-design.css	(from https://printservices.site/setup/officejet.php)
20:05:00	905/905	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/page/desktop-app-store.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/desktop-app-store.css	(from https://printservices.site/setup/officejet.php)
20:05:00	1244/1244	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jun%202023%2004:12:52%20GMT	https://printservices.site/setup/resources/assets/css/page/swls-delay.css	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/css/page/swls-delay.css	(from https://printservices.site/setup/officejet.php)
20:05:01	962/962	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/page/flex-design.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/page/flex-design.js	(from https://printservices.site/setup/officejet.php)
20:05:01	1655/1655	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/assets/js/page/desktop-app-store.js	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/assets/js/page/desktop-app-store.js	(from https://printservices.site/setup/officejet.php)
20:05:01	47837/47837	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jun%202023%2004:12:56%20GMT	https://printservices.site/setup/resources/printer_images/OTHER-PRINTERS/290x245.png	C:/My%20Web%20Sites/hppri/printservices.site/setup/resources/printer_images/OTHER-PRINTERS/290x245.png	(from https://printservices.site/setup/officejet.php)
